slider-titles	rep	col	col-auto	rep 2	col 2	col-auto 2
STATE REPRESENTATIVE DISTRICT 43	R	J.M. LOZANO	43,735	D	MARIANA CASAREZ	21,778
STATE REPRESENTATIVE DISTRICT 44	R	ALAN SCHOOLCRAFT	57,278	D	ERIC NORMAN	30,658
STATE REPRESENTATIVE DISTRICT 45	D	ERIN ZWIENER	52,759	R	TENNYSON G. MORENO	40,228
STATE REPRESENTATIVE DISTRICT 46	D	SHERYL COLE	60,781	R	NIKKI KOSICH	22,202
STATE REPRESENTATIVE DISTRICT 47	D	VIKKI GOODWIN	58,943	R	SCOTT FIRSING	39,030
STATE REPRESENTATIVE DISTRICT 48	D	DONNA HOWARD	72,550	L	DANIEL JEROME MCCARTHY	14,857
STATE REPRESENTATIVE DISTRICT 49	D	GINA HINOJOSA	80,378			
STATE REPRESENTATIVE DISTRICT 50	D	JAMES TALARICO	48,232			
STATE REPRESENTATIVE DISTRICT 51	D	"MARIA LUISA ""LULU"" FLORES"	52,745			
STATE REPRESENTATIVE DISTRICT 52	R	CAROLINE HARRIS DAVILA	62,676	D	JENNIE BIRKHOLZ	48,737
STATE REPRESENTATIVE DISTRICT 53	R	WES VIRDELL	76,117	D	JOE P. HERRERA	21,023
STATE REPRESENTATIVE DISTRICT 54	R	BRAD BUCKLEY	34,475	D	DAWN RICHARDSON	21,927
STATE REPRESENTATIVE DISTRICT 55	R	HILLARY HICKLAND	39,388	D	JENNIFER ALICIA LEE	29,187
STATE REPRESENTATIVE DISTRICT 56	R	PAT CURRY	56,118	D	ERIN SHANK	25,664
STATE REPRESENTATIVE DISTRICT 57	R	RICHARD HAYES	51,687	D	COLLIN JOHNSON	34,075
STATE REPRESENTATIVE DISTRICT 58	R	HELEN KERWIN	63,655	L	RICHARD WINDMANN	13,895
STATE REPRESENTATIVE DISTRICT 59	R	SHELBY SLAWSON	64,064	D	HANNAH BOHM	15,327
STATE REPRESENTATIVE DISTRICT 60	R	MIKE OLCOTT	93,188			
STATE REPRESENTATIVE DISTRICT 61	R	KERESA RICHARDSON	58,315	D	TONY ADAMS	39,334
STATE REPRESENTATIVE DISTRICT 62	R	SHELLEY LUTHER	66,959	D	TIFFANY DRAKE	19,195
STATE REPRESENTATIVE DISTRICT 63	R	BEN BUMGARNER	46,570	D	MICHELLE BECKLEY	37,023
STATE REPRESENTATIVE DISTRICT 64	R	ANDY HOPPER	59,389	D	ANGELA BREWER	34,596
STATE REPRESENTATIVE DISTRICT 65	R	MITCH LITTLE	59,982	D	DETRICK DEBURR	39,403
STATE REPRESENTATIVE DISTRICT 66	R	MATT SHAHEEN	58,039	D	DAVID W. CARSTENS	36,735
STATE REPRESENTATIVE DISTRICT 67	R	JEFF LEACH	55,918	D	MAKALA L. WASHINGTON	36,787
STATE REPRESENTATIVE DISTRICT 68	R	DAVID SPILLER	79,464	D	STACEY SWANN	11,690
STATE REPRESENTATIVE DISTRICT 69	R	JAMES B FRANK	53,446	D	WALTER COPPAGE	14,434
STATE REPRESENTATIVE DISTRICT 70	D	MIHAELA ELIZABETH PLESA	37,839	R	STEVE KINARD	34,739
STATE REPRESENTATIVE DISTRICT 71	R	STAN LAMBERT	58,316	D	LINDA GOOLSBEE	13,640
STATE REPRESENTATIVE DISTRICT 72	R	DREW DARBY	57,719			
STATE REPRESENTATIVE DISTRICT 73	R	CARRIE ISAAC	91,717	D	SALLY DUVAL	36,525
STATE REPRESENTATIVE DISTRICT 74	D	EDDIE MORALES JR	28,149	R	ROBERT GARZA	26,307
STATE REPRESENTATIVE DISTRICT 75	D	MARY E. GONZALEZ	35,005			
STATE REPRESENTATIVE DISTRICT 76	D	SULEMAN LALANI	39,542	R	LEA C.S. SIMMONS	30,509
STATE REPRESENTATIVE DISTRICT 77	D	"VINCENT ""VINCE"" PEREZ"	35,346			
STATE REPRESENTATIVE DISTRICT 78	D	JOE MOODY	45,397			
STATE REPRESENTATIVE DISTRICT 79	D	CLAUDIA ORDAZ	41,588			
STATE REPRESENTATIVE DISTRICT 80	R	DON MCLAUGHLIN JR	31,150	D	CECILIA CASTELLANO	21,201
STATE REPRESENTATIVE DISTRICT 81	R	BROOKS LANDGRAF	41,494			
STATE REPRESENTATIVE DISTRICT 82	R	TOM CRADDICK	50,488	D	STEVEN SCHAFERSMAN	10,526
STATE REPRESENTATIVE DISTRICT 83	R	DUSTIN BURROWS	69,797			
STATE REPRESENTATIVE DISTRICT 84	R	CARL H. TEPPER	36,927	D	NOAH LOPEZ	20,660
STATE REPRESENTATIVE DISTRICT 85	R	STAN KITZMAN	74,935			
STATE REPRESENTATIVE DISTRICT 86	R	JOHN SMITHEE	68,875			
STATE REPRESENTATIVE DISTRICT 87	R	CAROLINE FAIRLY	42,256	D	TIMOTHY W. GASSAWAY	11,031
STATE REPRESENTATIVE DISTRICT 88	R	KEN KING	54,034			
STATE REPRESENTATIVE DISTRICT 89	R	CANDY NOBLE	55,725	D	DARREL EVANS	36,048
STATE REPRESENTATIVE DISTRICT 90	D	RAMON ROMERO JR	35,570			
STATE REPRESENTATIVE DISTRICT 91	R	DAVID LOWE	53,884			
STATE REPRESENTATIVE DISTRICT 92	D	SALMAN BHOJANI	35,166			
STATE REPRESENTATIVE DISTRICT 93	R	NATE SCHATZLINE	53,417	D	PERLA BOJORQUEZ	34,757
STATE REPRESENTATIVE DISTRICT 94	R	TONY TINDERHOLT	43,694	D	DENISE WILKERSON	34,840
STATE REPRESENTATIVE DISTRICT 95	D	NICOLE COLLIER	43,685			
STATE REPRESENTATIVE DISTRICT 96	R	DAVID COOK	48,713	D	EBONY M. TURNER	36,151
STATE REPRESENTATIVE DISTRICT 97	R	JOHN MCQUEENEY	51,296	D	CARLOS WALKER	36,983
STATE REPRESENTATIVE DISTRICT 98	R	GIOVANNI CAPRIGLIONE	64,687	D	SCOTT BRYAN WHITE	33,699
STATE REPRESENTATIVE DISTRICT 99	R	CHARLIE GEREN	47,587	D	MIMI COFFEY	28,117
STATE REPRESENTATIVE DISTRICT 100	D	VENTON JONES	33,494			
STATE REPRESENTATIVE DISTRICT 101	D	CHRIS TURNER	40,204	R	CLINT BURGESS	21,743
STATE REPRESENTATIVE DISTRICT 102	D	ANA-MARIA RAMOS	35,120			
STATE REPRESENTATIVE DISTRICT 103	D	RAFAEL ANCHIA	39,730			
STATE REPRESENTATIVE DISTRICT 104	D	JESSICA GONZALEZ	32,856			
STATE REPRESENTATIVE DISTRICT 105	D	TERRY MEZA	22,550	R	ROSE CANNADAY	18,722
STATE REPRESENTATIVE DISTRICT 106	R	JARED PATTERSON	61,119	D	HAVA JOHNSTON	39,640
STATE REPRESENTATIVE DISTRICT 107	D	LINDA GARCIA	29,145			
